,genre,artist_name,track_name,track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
671,Alternative,Joji,Sanctuary,3xaugmCyXrVkrDTXbFkMW3,0.422,0.552,180019,0.65,0.000275,0.6666666666666666,0.372,-7.199,0.5,0.128,167.788,0.0,0.316
672,Alternative,Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,0.544,0.515,209274,0.479,0.00598,0.9166666666666666,0.191,-7.458,0.5,0.0261,88.964,0.0,0.284
673,Alternative,Joji,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,0.619,0.672,174358,0.588,0.241,0.6666666666666666,0.0992,-9.573,0.5,0.133,169.033,0.0,0.204
674,Alternative,Oliver Tree,Alien Boy,1gGhqfs2pDTOI30AEXMXrn,0.111,0.803,163525,0.599,0.0,0.6666666666666666,0.236,-5.169,0.5,0.0985,130.107,0.0,0.484
675,Alternative,Joji,CAN'T GET OVER YOU (feat. Clams Casino),39oeKRgsLeynDIbWuXyA47,0.684,0.9,107077,0.316,0.0771,0.75,0.0853,-8.797,0.5,0.332,129.914,0.0,0.844
676,Alternative,88-Keys,That's Life (feat. Mac Miller & Sia),5h0Jgt873QtgL6nJRBGfT6,0.24,0.525,202391,0.774,1.07e-06,0.75,0.495,-4.532,0.5,0.241,154.192,0.0,0.526
677,Alternative,Smash Mouth,All Star,3cfOd4CMv2snFaKAnMdnvK,0.0319,0.731,200373,0.861,0.0,0.25,0.0829,-5.881,0.5,0.0323,104.034,0.0,0.78
678,Alternative,Jhene Aiko,Triggered (freestyle),3PAptX72PPmjj1Igms0zjo,0.81,0.471,211227,0.411,0.0,0.08333333333333333,0.135,-9.5,0.5,0.295,89.484,0.6,0.363
679,Alternative,Gorillaz,Feel Good Inc.,0d28khcov6AiegSCpG5TuT,0.00836,0.818,222640,0.705,0.00233,0.8333333333333334,0.613,-6.679,0.5,0.177,138.559,0.0,0.772
680,Alternative,Nirvana,Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,2.86e-05,0.516,301920,0.906,0.000101,0.6666666666666666,0.105,-4.525,0.5,0.0658,116.775,0.0,0.728
