,genre,artist_name,track_name,track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
45631,Blues,The White Stripes,Seven Nation Army,7i6r9KotUPQg3ozKKgEPIN,0.00817,0.737,231733,0.463,0.447,0.08333333333333333,0.255,-7.828,0.5,0.0792,123.881,0.0,0.324
45632,Blues,Lynyrd Skynyrd,Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,0.181,0.596,283800,0.605,0.000331,0.4166666666666667,0.0863,-12.145,0.5,0.0255,97.798,0.0,0.886
45633,Blues,Cage The Elephant,Ain't No Rest for the Wicked,3Pzh926pXggbMe2ZpXyMV7,0.0438,0.634,175493,0.849,0.0,0.08333333333333333,0.363,-7.075,0.5,0.105,156.004,0.0,0.919
45634,Blues,Leon Bridges,River,0NeJjNlprGfZpeX2LQuN6c,0.689,0.658,238560,0.179,0.0,0.5,0.17,-10.866,0.5,0.0448,128.128,0.0,0.191
45635,Blues,Leon Bridges,Beyond,1Omt5bfz1tZUCqd26HxbS0,0.229,0.58,240600,0.687,0.0,0.8333333333333334,0.109,-5.4,0.5,0.106,76.014,0.0,0.187
45636,Blues,The Black Keys,Howlin' For You,0grFc6klR3hxoHLcgCYsF4,0.028,0.705,191800,0.735,0.0783,0.25,0.112,-6.646,0.5,0.0931,132.627,0.0,0.448
45637,Blues,Thin Lizzy,The Boys Are Back In Town,43DeSV93pJPT4lCZaWZ6b1,0.234,0.445,266720,0.706,0.000252,0.5,0.205,-9.803,0.5,0.0461,80.823,0.0,0.768
45638,Blues,Cage The Elephant,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0,0.0801,0.635,208760,0.675,0.0,0.0,0.0831,-3.445,0.5,0.0263,113.946,0.0,0.273
45639,Blues,Jimi Hendrix,All Along the Watchtower,2aoo2jlRnM3A0NyLQqMN2f,0.00255,0.438,240800,0.805,5.69e-05,0.5,0.0842,-6.237,0.5,0.0624,113.253,0.0,0.564
45640,Blues,Etta James,At Last,4Hhv2vrOTy89HFRcjU3QOx,0.707,0.171,182400,0.33,0.00381,0.16666666666666666,0.302,-9.699,0.5,0.0329,174.431,0.2,0.315
45641,Blues,Eric Clapton,Cocaine,3ykSdTGmYPFl8pDBXer1zG,0.0607,0.699,221640,0.502,0.0337,0.75,0.317,-12.526,0.5,0.0278,105.266,0.0,0.676
45642,Blues,Lynyrd Skynyrd,Free Bird,5EWPGh7jbTNO2wakv8LjUI,0.0765,0.252,547107,0.844,0.00018,0.08333333333333333,0.084,-8.121,0.5,0.0572,118.158,0.0,0.351
45643,Blues,The Black Keys,Walk Across The Water,5AEyKKiz6YPTLR7EDFLqMS,0.329,0.418,235842,0.583,0.769,0.75,0.238,-7.296,0.5,0.0257,79.594,0.0,0.327
45644,Blues,Santana,Smooth (feat. Rob Thomas),0n2SEXB2qoRQg171q7XqeW,0.16,0.609,294987,0.923,4.73e-06,0.75,0.295,-3.908,0.5,0.0338,115.996,0.0,0.961
45645,Blues,Blue Öyster Cult,(Don't Fear) The Reaper,5QTxFnGygVM4jFQiBovmRo,0.0029,0.333,308120,0.927,0.000211,0.75,0.297,-8.55,0.0,0.0733,141.47,0.0,0.382
45646,Blues,Lynyrd Skynyrd,Simple Man,1ju7EsSGvRybSNEsRvc7qY,0.0465,0.43,356627,0.767,0.000112,0.8333333333333334,0.142,-8.561,0.5,0.042,120.353,0.0,0.409
