,genre,artist_name,track_name,track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
77052,Children’s Music,Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,0.544,0.515,209274,0.479,0.00598,0.9166666666666666,0.191,-7.458,0.5,0.0261,88.964,0.0,0.284
77053,Children’s Music,YUNGBLUD,11 Minutes (with Halsey feat. Travis Barker),4mGdjNMo0RonTlOEb7cYg4,0.0116,0.464,239507,0.852,0.0,0.25,0.108,-3.804,0.5,0.067,160.075,0.0,0.233
77054,Children’s Music,H.E.R.,Best Part (feat. Daniel Caesar),4OBZT9EnhYIV17t4pGw7ig,0.795,0.473,209400,0.371,0.0,0.3333333333333333,0.109,-10.219,0.0,0.0405,75.208,0.0,0.413
77055,Children’s Music,Joji,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,0.619,0.672,174358,0.588,0.241,0.6666666666666666,0.0992,-9.573,0.5,0.133,169.033,0.0,0.204
77056,Children’s Music,H.E.R.,Could've Been (feat. Bryson Tiller),6lzLjIOyWTyTJvk0jraYee,0.64,0.545,248467,0.33,7e-06,0.6666666666666666,0.22,-11.719,0.0,0.164,103.553,0.0,0.399
77057,Children’s Music,Joji,CAN'T GET OVER YOU (feat. Clams Casino),39oeKRgsLeynDIbWuXyA47,0.684,0.9,107077,0.316,0.0771,0.75,0.0853,-8.797,0.5,0.332,129.914,0.0,0.844
77058,Children’s Music,6LACK,Pretty Little Fears (feat. J. Cole),4at3d5QWnlibMVN75ECDrp,0.711,0.611,240342,0.466,0.000264,0.75,0.0847,-11.361,0.5,0.372,192.08,0.0,0.223
77059,Children’s Music,lovelytheband,broken,6XcfKZvJio9Z0fQy11GnNX,0.00175,0.666,204878,0.728,4.26e-06,0.4166666666666667,0.0429,-5.808,0.5,0.0419,122.996,0.0,0.51
77060,Children’s Music,Joji,TEST DRIVE,1DMEzmAoQIikcL52psptQL,0.71,0.646,179423,0.648,0.00316,0.9166666666666666,0.108,-8.602,0.5,0.0372,75.004,0.0,0.466
77061,Children’s Music,Smash Mouth,All Star,3cfOd4CMv2snFaKAnMdnvK,0.0319,0.731,200373,0.861,0.0,0.25,0.0829,-5.881,0.5,0.0323,104.034,0.0,0.78
77062,Children’s Music,Gorillaz,Feel Good Inc,0d28khcov6AiegSCpG5TuT,0.00836,0.818,222640,0.705,0.00233,0.8333333333333334,0.613,-6.679,0.5,0.177,138.559,0.0,0.772
77063,Children’s Music,The Neighbourhood,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,0.0495,0.612,240400,0.807,0.0177,0.5833333333333334,0.101,-2.81,0.5,0.0336,124.053,0.0,0.398
77064,Children’s Music,Red Hot Chili Peppers,Under The Bridge,3d9DChrdc6BOeFsbrZ3Is0,0.0576,0.559,264307,0.345,0.000105,0.3333333333333333,0.141,-13.496,0.5,0.0459,84.581,0.0,0.458
77065,Children’s Music,Summer Walker,Girls Need Love,1QC6VpD6q6TJrl30969QM9,0.558,0.645,140760,0.418,0.0003,0.8333333333333334,0.562,-10.065,0.0,0.29,96.963,0.0,0.123
77066,Children’s Music,Summer Walker,Girls Need Love (with Drake) - Remix,0mfCH4nfpshBQR9ueZP5eP,0.443,0.656,222374,0.432,0.0,0.8333333333333334,0.132,-9.481,0.0,0.217,97.022,0.0,0.0897
77067,Children’s Music,Joji,ATTENTION,5aqu5xhPqoOWqF71PkfgM8,0.895,0.787,128888,0.312,0.0224,0.4166666666666667,0.115,-12.401,0.5,0.0383,119.899,0.0,0.425
77068,Children’s Music,Oliver Tree,Alien Boy,1gGhqfs2pDTOI30AEXMXrn,0.111,0.803,163525,0.599,0.0,0.6666666666666666,0.236,-5.169,0.5,0.0985,130.107,0.0,0.484
77069,Children’s Music,Nirvana,Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,2.86e-05,0.516,301920,0.906,0.000101,0.6666666666666666,0.105,-4.525,0.5,0.0658,116.775,0.0,0.728
77070,Children’s Music,Grouplove,Tongue Tied,0GO8y8jQk1PkHzS31d699N,0.00847,0.56,218013,0.936,0.0,0.9166666666666666,0.161,-5.835,0.5,0.0439,112.96,0.0,0.371
77071,Children’s Music,X Ambassadors,Unsteady,7lGKEWMXVWWTt3X71Bv44I,0.178,0.389,193547,0.665,0.000732,0.08333333333333333,0.116,-6.169,0.5,0.0644,117.055,0.0,0.199
77072,Children’s Music,grandson,Blood // Water,7clyJIrLkEbXUDwj1tC9zz,0.00163,0.504,214520,0.891,0.00199,0.8333333333333334,0.148,-5.632,0.0,0.137,153.988,0.0,0.628
77073,Children’s Music,Linkin Park,In The End,60a0Rd6pjrkxjPbaKzXjfq,0.0103,0.542,216933,0.853,0.0,0.9166666666666666,0.108,-6.407,0.0,0.0498,105.256,0.0,0.37
77074,Children’s Music,Frank Ocean,Ivy,2ZWlPOoWh0626oTaHrnl2a,0.782,0.567,249191,0.388,0.000309,0.75,0.248,-9.579,0.0,0.0384,116.362,0.0,0.452
77075,Children’s Music,Oliver Tree,Hurt,1Xls3QHvOQ7YLB54R6BvgG,0.0209,0.561,145558,0.782,0.0,0.08333333333333333,0.315,-5.863,0.5,0.04,94.004,0.0,0.486
77076,Children’s Music,Foster The People,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,0.145,0.733,239600,0.71,0.115,0.16666666666666666,0.0956,-5.849,0.0,0.0292,127.975,0.0,0.965
77077,Children’s Music,Pink Sweat$,Honesty,5dXI2NV7X2c4anyLFbQdEX,0.919,0.616,191000,0.204,0.0,0.8333333333333334,0.106,-11.421,0.0,0.0331,79.826,0.0,0.419
77078,Children’s Music,Frank Ocean,Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau,0.41,0.716,200747,0.35,0.00134,0.08333333333333333,0.0927,-11.094,0.5,0.0537,129.842,0.0,0.178
77079,Children’s Music,Joji,Will He,7wvwXi9Z66dcH5t202vVkN,0.837,0.618,202103,0.217,0.000163,0.5833333333333334,0.538,-15.372,0.5,0.0515,116.013,0.0,0.0872
77080,Children’s Music,Frank Ocean,Nights,7eqoqGkKwgOaWNNHx90uEZ,0.42,0.466,307151,0.548,1.01e-06,0.16666666666666666,0.113,-9.362,0.0,0.118,89.815,0.0,0.423
77081,Children’s Music,The White Stripes,Seven Nation Army,7i6r9KotUPQg3ozKKgEPIN,0.00817,0.737,231733,0.463,0.447,0.08333333333333333,0.255,-7.828,0.5,0.0792,123.881,0.0,0.324
77082,Children’s Music,Bad Wolves,Zombie,1vNoA9F5ASnlBISFekDmg3,0.00756,0.448,254805,0.826,0.0,0.0,0.117,-3.244,0.0,0.0319,77.093,0.0,0.19
77083,Children’s Music,System Of A Down,Chop Suey!,2DlHlPMa4M17kufBvI2lEN,0.000278,0.419,210240,0.934,0.0015,0.4166666666666667,0.132,-3.908,0.0,0.12,127.288,0.0,0.286
77084,Children’s Music,H.E.R.,Focus,3tZs3nVjySLbL320lP4mvs,0.255,0.415,200133,0.313,1.4e-05,0.6666666666666666,0.117,-12.945,0.0,0.0561,84.953,0.0,0.0875
77085,Children’s Music,Evanescence,Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,0.00895,0.316,235893,0.945,1.85e-06,0.3333333333333333,0.396,-3.169,0.0,0.124,189.931,0.0,0.32
