,genre,artist_name,track_name,track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
688,Country,Cam,My Mistake,5ICoYTFfmUKguBHpINKkGL,0.00821,0.551,200013,0.704,2.25e-06,0.5,0.245,-5.426,0.5,0.0444,97.075,0.0,0.541
689,Country,Kevin Fowler,That Girl,0rk6JE7ODyGWWquK4y7t1u,0.0272,0.375,208187,0.859,0.0,0.4166666666666667,0.267,-3.243,0.5,0.0569,74.059,0.0,0.597
690,Country,Roger Miller,Chug-A-Lug,3vMwtAfDNM8dDBWMvS78pn,0.69,0.699,123360,0.408,0.000219,0.25,0.145,-11.46,0.5,0.096,171.922,0.0,0.842
691,Country,M. Ward,Chinese Translation,7IJlk42gDKt5dfSSLwtEsp,0.152,0.555,238600,0.726,0.000178,0.0,0.148,-8.939,0.5,0.0368,107.719,0.0,0.505
692,Country,Chris Cagle,Anywhere But Here,2JxSaSRavL82FCTCPzVmEf,0.571,0.64,243000,0.478,0.0,0.25,0.0902,-6.96,0.5,0.033,136.717,0.0,0.315
693,Country,Cassadee Pope,I Wish I Could Break Your Heart,4wrjIq1lskP8tZuQBEdcux,0.13,0.435,220413,0.846,0.0,0.5,0.092,-4.169,0.5,0.0496,199.895,0.0,0.631
694,Country,Mark Chesnutt,Too Cold At Home,5oqxLuRvQFjV4k0orrXs5d,0.199,0.638,219573,0.412,9.27e-06,0.0,0.319,-12.901,0.5,0.0242,92.832,0.0,0.509
695,Country,Gary Allan,Get Off On The Pain,0DJev1kGOCzaY8Ae3oQwH0,0.0293,0.387,234307,0.874,1.72e-05,0.08333333333333333,0.171,-4.528,0.5,0.053,168.105,0.0,0.674
696,Country,"Hank Williams, Jr.",Old Habits,17zj9e1nYLJaKjqKuwWCht,0.173,0.633,183600,0.444,3.33e-06,0.0,0.0821,-14.09,0.5,0.0264,106.111,0.2,0.45
697,Country,Ryan Adams,When The Stars Go Blue,04rMpRstoJt3uvqyNGKczX,0.469,0.587,211667,0.201,2.58e-05,0.5833333333333334,0.119,-13.299,0.5,0.0301,90.018,0.0,0.3
