,genre,artist_name,track_name,track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
9026,Dance,Ariana Grande,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,0.0421,0.726,190440,0.554,0.0,0.16666666666666666,0.106,-5.29,0.0,0.0917,169.999,0.0,0.335
9027,Dance,Ariana Grande,7 rings,14msK75pk3pA33pzPVNtBF,0.578,0.725,178640,0.321,0.0,0.6666666666666666,0.0884,-10.744,0.0,0.323,70.142,0.0,0.319
9028,Dance,Halsey,Without Me,5p7ujcrUXASCNwRaWNHR1C,0.297,0.752,201661,0.488,9.11e-06,0.8333333333333334,0.0936,-7.05,0.5,0.0705,136.041,0.0,0.533
9029,Dance,Ariana Grande,needy,1TEL6MlSSVLSdhOSddidlJ,0.78,0.647,171573,0.309,7.41e-06,0.4166666666666667,0.202,-7.948,0.0,0.0366,87.045,0.0,0.195
9030,Dance,Ariana Grande,NASA,4uTvPEr01pjTbZgl7jcKBD,0.451,0.747,182000,0.458,0.0,0.8333333333333334,0.252,-6.891,0.5,0.303,75.029,0.0,0.47
9031,Dance,Ariana Grande,"thank u, next",2rPE9A1vEgShuZxxzR2tZH,0.28,0.724,207333,0.647,0.0,0.6666666666666666,0.102,-5.642,0.5,0.0658,106.96,0.0,0.435
9032,Dance,Ariana Grande,bloodline,2hloaUoRonYssMuqLCBLTX,0.0815,0.758,216893,0.665,0.000157,0.0,0.216,-5.188,0.0,0.0774,151.976,0.0,0.643
9033,Dance,Ariana Grande,bad idea,5Il6Oe7lr5XM7A0cWbVQtr,0.0268,0.847,267107,0.579,0.0545,0.6666666666666666,0.102,-5.314,0.5,0.0719,137.998,0.0,0.569
9034,Dance,benny blanco,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,0.555,0.56,173800,0.68,0.0,0.8333333333333334,0.116,-7.648,0.0,0.321,89.391,0.0,0.319
9035,Dance,Ariana Grande,fake smile,3wFLWP0FcIqHK1wb1CPthQ,0.329,0.45,208880,0.619,0.0,0.75,0.319,-7.412,0.5,0.372,83.3,0.0,0.427
9036,Dance,Lauv,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,0.176,0.599,162583,0.733,0.0,0.25,0.242,-7.058,0.5,0.203,102.211,0.0,0.534
9037,Dance,Ava Max,Sweet but Psycho,25sgk305KZfyuqVBQIahim,0.0691,0.719,187436,0.704,0.0,0.6666666666666666,0.166,-4.724,0.5,0.0476,133.002,0.0,0.628
9038,Dance,Ariana Grande,imagine,39LmTF9RgyakzSYX8txrow,0.378,0.729,212267,0.475,0.0,0.5,0.12,-4.985,0.5,0.0364,62.52,0.2,0.371
9039,Dance,Alec Benjamin,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,0.74,0.652,169354,0.557,0.0,0.6666666666666666,0.124,-5.714,0.0,0.0318,150.073,0.0,0.483
9040,Dance,Lady Gaga,Shallow,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733,0.385,0.0,0.4166666666666667,0.231,-6.362,0.5,0.0308,95.799,0.0,0.323
9041,Dance,Ariana Grande,in my head,4T652DlATVHe0jdLKaN3Bw,0.173,0.662,222947,0.6,0.000137,0.08333333333333333,0.109,-6.402,0.5,0.0703,134.979,0.0,0.331
9042,Dance,Jonas Brothers,Sucker,4y3OI86AEP6PQoDE6olYhO,0.0436,0.846,181040,0.731,0.0,0.6666666666666666,0.0949,-5.027,0.0,0.064,137.947,0.0,0.933
9043,Dance,Lady Gaga,Shallow - Radio Edit,6QfS2wq5sSC1xAJCQsTSlj,0.416,0.575,217213,0.33,0.0,0.4166666666666667,0.0872,-6.557,0.5,0.031,95.801,0.0,0.277
9044,Dance,Ariana Grande,make up,27356GVuMPFWiJSZCragoM,0.0844,0.671,140693,0.714,1.48e-06,0.4166666666666667,0.0568,-5.373,0.5,0.21,105.137,0.2,0.477
