,genre,artist_name,track_name,track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
40494,Folk,Lord Huron,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,0.968,0.441,208227,0.379,0.262,0.0,0.639,-9.545,0.5,0.0449,174.118,0.2,0.105
40495,Folk,Hozier,Almost (Sweet Music),2e9N4vHYVUwSwRorBzsZXE,0.021,0.427,217480,0.689,1.69e-06,0.4166666666666667,0.203,-5.589,0.5,0.135,88.875,0.0,0.706
40496,Folk,Dermot Kennedy,Power Over Me,0OGNtqKkjI7FCE9HZ4Khgo,0.0519,0.42,206960,0.843,0.0,0.75,0.106,-4.231,0.0,0.121,173.827,0.2,0.491
40497,Folk,Vance Joy,Riptide,3JvrhDOgAt6p7K8mDyZwRd,0.431,0.484,204280,0.731,0.0,0.6666666666666666,0.151,-6.694,0.5,0.0379,101.654,0.0,0.51
40498,Folk,John Denver,"Take Me Home, Country Roads - Rerecorded",2xYlyywNgefLCRDG8hlxZq,0.546,0.255,197813,0.43,1.87e-05,0.75,0.188,-12.564,0.5,0.0322,164.267,0.0,0.546
40499,Folk,Van Morrison,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,0.182,0.491,183307,0.583,0.0,0.4166666666666667,0.407,-10.964,0.5,0.0376,150.572,0.0,0.907
40500,Folk,Hozier,Take Me to Church,1CS7Sd1u5tWkstBhpssyjP,0.634,0.566,241693,0.664,0.0,0.3333333333333333,0.116,-5.303,0.0,0.0464,128.945,0.0,0.437
40501,Folk,Grouplove,Tongue Tied,0GO8y8jQk1PkHzS31d699N,0.00847,0.56,218013,0.936,0.0,0.9166666666666666,0.161,-5.835,0.5,0.0439,112.96,0.0,0.371
40502,Folk,The Lumineers,Ho Hey,0W4Kpfp1w2xkY3PrV714B7,0.794,0.685,163133,0.466,2.06e-06,0.08333333333333333,0.0915,-9.074,0.5,0.0304,79.936,0.0,0.353
40503,Folk,Eagles,Hotel California - Eagles 2013 Remaster,40riOy7x9W7GXjyGp4pjAv,0.00574,0.579,391376,0.508,0.000494,0.0,0.0575,-9.484,0.5,0.027,147.125,0.0,0.609
40504,Folk,Hozier,To Noise Making (Sing),5in02YJDTkdfKDQjfsvxYp,0.133,0.619,206920,0.556,0.0,0.08333333333333333,0.594,-7.687,0.5,0.0806,99.39,0.0,0.566
40505,Folk,Hozier,Cherry Wine - Live,1C042FLYy7rP3MfnkOcnha,0.951,0.415,240147,0.11,0.00236,0.6666666666666666,0.0962,-14.901,0.5,0.0388,81.876,0.0,0.234
40506,Folk,SYML,Where's My Love - Piano Solo,4e3wYOolOau2A9D7GYqtSG,0.989,0.539,274493,0.0511,0.928,0.9166666666666666,0.127,-16.503,0.5,0.0588,179.994,0.0,0.135
40507,Folk,Vance Joy,Georgia,429EttO8gs0bDo2SQfUNSm,0.312,0.388,230507,0.66,0.000307,0.25,0.0943,-7.372,0.5,0.0308,143.554,0.0,0.401
40508,Folk,The Lumineers,Ophelia,3d8y0t70g7hw2FOWl9Z4Fm,0.613,0.664,160097,0.573,0.000363,0.16666666666666666,0.0857,-6.519,0.5,0.0277,76.023,0.0,0.566
40509,Folk,Tracy Chapman,Fast Car,2M9ro2krNb7nr7HSprkEgo,0.313,0.711,296800,0.292,0.0,0.3333333333333333,0.131,-15.523,0.0,0.037,103.951,0.0,0.194
40510,Folk,Hozier,As It Was,4xEHlCgoKd4RdrS79OPn9y,0.841,0.398,207653,0.154,0.157,0.08333333333333333,0.113,-11.395,0.0,0.0351,173.589,0.2,0.155
40511,Folk,Simon & Garfunkel,Mrs. Robinson,0iOZM63lendWRTTeKhZBSC,0.713,0.606,244027,0.457,2.53e-05,0.8333333333333334,0.0747,-14.035,0.0,0.0497,92.033,0.0,0.813
40512,Folk,The Paper Kites,Bloom - Bonus Track,41yIvlFgvGwxq8qTqAR7eG,0.882,0.592,210080,0.416,0.000586,0.6666666666666666,0.112,-9.794,0.5,0.0246,96.002,0.0,0.417
40513,Folk,Edward Sharpe & The Magnetic Zeros,Home,7w5cxTEzp1rfV3KCy0Bd5N,0.292,0.542,303200,0.589,0.000522,0.0,0.177,-6.623,0.5,0.0318,111.665,0.0,0.137
40514,Folk,James Taylor,Fire and Rain,3LcYYV9ozePfgYYmXv0P3r,0.499,0.611,200579,0.35,7.84e-06,0.16666666666666666,0.0844,-14.48,0.5,0.0356,76.064,0.0,0.36
40515,Folk,Hozier,Movement,1djzKW3eYLyzjjHXazEWWh,0.16,0.381,237800,0.502,6.98e-05,0.6666666666666666,0.0842,-5.505,0.0,0.0368,144.3,0.0,0.147
40516,Folk,Hozier,No Plan,4byXh93siQtzKLdjKuJaAF,0.115,0.456,331013,0.75,1.69e-05,0.75,0.114,-4.609,0.0,0.0444,80.019,0.0,0.564
