,genre,artist_name,track_name,track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
66607,Hip-Hop,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,0.149,0.837,213594,0.364,0.0,0.5,0.271,-11.713,0.5,0.276,123.984,0.0,0.463
66608,Hip-Hop,Meek Mill,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,0.259,0.889,180522,0.496,0.0,0.3333333333333333,0.252,-6.365,0.0,0.0905,86.003,0.0,0.544
66609,Hip-Hop,21 Savage,a lot,2t8yVaLvJ0RenpXUIAC52d,0.0395,0.837,288624,0.636,0.00125,0.6666666666666666,0.342,-7.643,0.5,0.086,145.972,0.0,0.274
66610,Hip-Hop,Rich The Kid,Splashin,79OEIr4J4FHV0O3KrhaXRb,0.00195,0.942,177806,0.383,0.0,0.5833333333333334,0.0922,-8.099,0.5,0.565,100.021,0.0,0.38
66611,Hip-Hop,Sheck Wes,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,0.194,0.729,183907,0.625,0.00986,0.3333333333333333,0.248,-5.266,0.5,0.0315,146.034,0.0,0.261
66612,Hip-Hop,Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,0.103,0.896,145543,0.671,0.0,0.6666666666666666,0.552,-6.977,0.0,0.289,112.502,0.0,0.358
66613,Hip-Hop,XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,0.258,0.74,166606,0.613,0.00372,0.5,0.123,-4.88,0.5,0.145,75.023,0.0,0.473
66614,Hip-Hop,Mustard,Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,0.172,0.68,194520,0.559,0.0,0.08333333333333333,0.318,-5.545,0.5,0.129,202.006,0.0,0.137
66615,Hip-Hop,Kodak Black,ZEZE (feat. Travis Scott & Offset),0FZ4Dmg8jJJAPJnvBIzD9z,0.0521,0.861,228760,0.603,0.0,0.5,0.0924,-5.788,0.0,0.176,98.043,0.0,0.504
66616,Hip-Hop,Flipp Dinero,Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,0.107,0.792,195637,0.743,0.0,0.4166666666666667,0.183,-2.806,0.5,0.0851,150.024,0.0,0.742
66617,Hip-Hop,XXXTENTACION,Moonlight,0JP9xo3adEtGSdUEISiszL,0.556,0.921,135090,0.537,0.00404,0.75,0.102,-5.723,0.0,0.0804,128.009,0.0,0.711
66618,Hip-Hop,Gucci Mane,Wake Up in the Sky,0QIjsbm2fh1cJ45XO9eGqq,0.00381,0.8,204665,0.578,0.0,0.3333333333333333,0.359,-5.144,0.0,0.0485,143.01,0.0,0.367
66619,Hip-Hop,XXXTENTACION,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,0.469,0.872,119133,0.391,4.13e-06,0.08333333333333333,0.297,-9.144,0.0,0.242,134.021,0.0,0.437
66620,Hip-Hop,Logic,Keanu Reeves,25F6MWrnFBCXVnpN4n76EK,0.0591,0.71,225987,0.888,0.0,0.0,0.134,-6.457,0.5,0.235,170.193,0.0,0.816
66621,Hip-Hop,Metro Boomin,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz,0.368,0.901,203267,0.464,1.71e-05,0.16666666666666666,0.238,-9.789,0.0,0.0645,109.004,0.0,0.638
66622,Hip-Hop,Tyga,Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,0.0236,0.884,232959,0.559,0.0,0.08333333333333333,0.101,-7.442,0.5,0.12,97.994,0.0,0.342
66623,Hip-Hop,XXXTENTACION,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,0.0172,0.797,146520,0.533,0.000152,0.08333333333333333,0.103,-9.74,0.0,0.0412,131.036,0.0,0.329
66624,Hip-Hop,Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn,0.0332,0.754,198973,0.449,8.29e-05,0.4166666666666667,0.552,-9.211,0.5,0.109,77.169,0.0,0.357
66625,Hip-Hop,Ski Mask The Slump God,Nuketown (feat. Juice WRLD),74lnM5V6ecvoTPV0fvptx9,0.113,0.808,166400,0.617,0.0,0.5833333333333334,0.734,-9.32,0.0,0.442,149.962,0.0,0.632
66626,Hip-Hop,Ski Mask The Slump God,Faucet Failure,1ThmUihH9dF8EV08ku5AXN,0.111,0.935,145627,0.552,0.0,0.5833333333333334,0.0952,-9.373,0.0,0.335,99.993,0.0,0.615
66627,Hip-Hop,Future,Fine China,5274I4mUMnYczyeXkGDWZN,0.0484,0.656,141587,0.542,0.0,0.4166666666666667,0.126,-7.358,0.5,0.323,166.111,0.0,0.551
66628,Hip-Hop,Lil Baby,Pure Cocaine,577YBGuskWkVDCxZrLRB4v,0.00127,0.964,154024,0.487,6.57e-06,0.5833333333333334,0.115,-6.071,0.0,0.421,127.05,0.0,0.107
66629,Hip-Hop,XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),2LskIZrCeLxRvCiGP8gxlh,0.0302,0.703,198903,0.723,2.06e-06,0.75,0.126,-5.45,0.0,0.0412,104.969,0.0,0.288
66630,Hip-Hop,J. Cole,No Role Modelz,62vpWI1CHwFy7tMIcSStl8,0.302,0.696,292987,0.521,0.0,0.5833333333333334,0.0565,-8.465,0.0,0.332,100.0,0.0,0.458
66631,Hip-Hop,Drake,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,0.0589,0.835,217925,0.626,6e-05,0.6666666666666666,0.396,-5.833,0.5,0.125,91.03,0.0,0.35
66632,Hip-Hop,Metro Boomin,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ,0.588,0.81,208293,0.353,0.0,0.8333333333333334,0.102,-9.931,0.0,0.31,88.031,0.0,0.0727
66633,Hip-Hop,BlocBoy JB,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,0.00104,0.922,181263,0.581,5.86e-05,0.5833333333333334,0.105,-7.495,0.5,0.27,140.022,0.0,0.595
66634,Hip-Hop,French Montana,No Stylist,04MLEeAMuV9IlHEsD8vF6A,0.0215,0.765,192172,0.704,0.0,0.16666666666666666,0.227,-4.589,0.0,0.127,147.055,0.0,0.498
66635,Hip-Hop,Drake,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,0.0891,0.586,210747,0.909,0.000109,0.5,0.119,-6.474,0.5,0.0705,93.394,0.0,0.757
66636,Hip-Hop,XXXTENTACION,Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,0.847,0.734,95467,0.57,2.14e-05,0.4166666666666667,0.112,-7.066,0.0,0.133,129.953,0.0,0.689
66637,Hip-Hop,Kodak Black,Calling My Spirit,2MShy1GSSgbmGUxADNIao5,0.0996,0.91,152000,0.366,0.0,0.6666666666666666,0.261,-9.954,0.5,0.0941,119.985,0.0,0.74
66638,Hip-Hop,Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,0.035,0.964,142273,0.346,0.0,0.16666666666666666,0.108,-9.309,0.0,0.53,119.958,0.0,0.562
66639,Hip-Hop,Lil Peep,Falling Down - Bonus Track,4jvjzW7Hm0yK4LvvE0Paz9,0.0175,0.669,196400,0.574,0.00294,0.3333333333333333,0.146,-6.442,0.0,0.0286,120.013,0.0,0.273
66640,Hip-Hop,Tory Lanez,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,51w9Jbat1pLeWINGCpnQUR,0.0226,0.698,248521,0.66,0.0,0.08333333333333333,0.0622,-7.883,0.5,0.052,159.949,0.0,0.451
66641,Hip-Hop,Future,First Off (feat. Travis Scott),3WRIaWsws011vHMd9uzPjG,0.013,0.734,228367,0.683,0.0,0.6666666666666666,0.28,-6.105,0.5,0.0776,162.038,0.0,0.445
66642,Hip-Hop,XXXTENTACION,Sauce!,3jq1RpStaB1YGyN3rRZGca,0.582,0.68,144724,0.313,0.0,0.9166666666666666,0.19,-13.672,0.0,0.0347,135.034,0.0,0.405
66643,Hip-Hop,Daddy Yankee,Con Calma,5w9c2J52mkdntKOmRLeM2m,0.11,0.737,193227,0.86,1.94e-06,0.5,0.0574,-2.652,0.0,0.0593,93.989,0.0,0.656
66644,Hip-Hop,Rich The Kid,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,0.202,0.876,175230,0.519,0.0,0.25,0.108,-6.531,0.5,0.143,94.981,0.0,0.158
66645,Hip-Hop,Eminem,Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,0.0627,0.876,244679,0.786,0.0,0.5833333333333334,0.127,-4.884,0.0,0.306,153.068,0.0,0.575
66646,Hip-Hop,Offset,Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,0.149,0.88,172800,0.428,5.07e-05,0.75,0.114,-8.28,0.5,0.206,100.007,0.0,0.333
66647,Hip-Hop,Offset,Legacy (feat. Travis Scott & 21 Savage),7pMRoGLEJuFM2wl5pt0R99,0.178,0.844,244941,0.513,0.0,0.6666666666666666,0.0845,-8.769,0.5,0.335,128.085,0.0,0.344
66648,Hip-Hop,YG,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",0ZNrc4kNeQYD9koZ3KvCsy,0.00552,0.745,237240,0.346,0.0,0.6666666666666666,0.0881,-7.709,0.5,0.331,203.911,0.0,0.112
66649,Hip-Hop,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,0.0609,0.85,205040,0.569,0.0816,0.16666666666666666,0.1,-8.152,0.0,0.136,80.02,0.0,0.294
66650,Hip-Hop,Future,Crushed Up,7wcyO1rrH3Ru4t659IjG41,0.0415,0.781,149949,0.597,0.0,0.5833333333333334,0.152,-6.794,0.0,0.23,158.043,0.0,0.544
66651,Hip-Hop,Aminé,REEL IT IN,5qHirGR7M9tdm6C17DlzSY,0.073,0.754,121347,0.342,0.0,0.5833333333333334,0.193,-8.677,0.0,0.0991,128.981,0.0,0.423
66652,Hip-Hop,Offset,Red Room,2MJdgSby3DtSS7bUJx2cly,0.479,0.936,241440,0.559,0.0,0.4166666666666667,0.129,-8.591,0.0,0.158,112.339,0.0,0.517
66653,Hip-Hop,2 Chainz,Whip (feat. Travis Scott),6Z4rmc0uujCpl8yXe3yjgI,0.12,0.793,226600,0.399,0.0,0.4166666666666667,0.124,-7.428,0.5,0.0951,121.949,0.0,0.0379
66654,Hip-Hop,Playboi Carti,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i,0.191,0.674,153800,0.649,0.0,0.6666666666666666,0.122,-8.433,0.0,0.199,153.069,0.0,0.48
66655,Hip-Hop,21 Savage,Bank Account,2fQrGHiQOvpL9UgPvtYy6G,0.0151,0.884,220307,0.346,7.04e-06,0.5,0.0871,-8.228,0.0,0.351,75.016,0.0,0.376
66656,Hip-Hop,XXXTENTACION,Hope,2ZRo7axmMPeSVUvDbGkJah,0.661,0.592,110886,0.457,0.000331,0.75,0.146,-6.081,0.0,0.0603,146.04,0.0,0.225
66657,Hip-Hop,NF,Let You Down,52okn5MNA47tk87PeZJLEL,0.298,0.656,212120,0.721,0.0,0.16666666666666666,0.173,-5.665,0.0,0.122,148.066,0.0,0.468
66658,Hip-Hop,XXXTENTACION,BAD!,4CH66Rxcjcj3VBHwmIBj4T,0.0643,0.78,94246,0.492,0.0313,0.16666666666666666,0.174,-3.4,0.0,0.0671,143.983,0.0,0.374
66659,Hip-Hop,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,0.000282,0.908,177000,0.621,5.39e-05,0.6666666666666666,0.0958,-6.638,0.0,0.102,150.011,0.0,0.421
66660,Hip-Hop,Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)",6wWaVoUOzLQJHd3bWAUpdZ,0.0716,0.757,194732,0.69,0.0,0.6666666666666666,0.192,-5.327,0.0,0.282,132.064,0.0,0.914
66661,Hip-Hop,Comethazine,Walk,21kOVEG3bDCVphKhXL8XmQ,0.221,0.831,96064,0.795,0.0,0.6666666666666666,0.291,-6.186,0.5,0.264,160.063,0.0,0.744
66662,Hip-Hop,Logic,1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,0.57,0.62,250173,0.574,0.0,0.16666666666666666,0.19,-7.788,0.0,0.0479,100.021,0.0,0.352
66663,Hip-Hop,21 Savage,monster,2FUNBaa5DwItJtYEBgAblU,0.158,0.89,233040,0.607,0.000228,0.75,0.118,-6.916,0.0,0.124,134.022,0.0,0.224
66664,Hip-Hop,Metro Boomin,Don't Come Out The House (with 21 Savage),2Grb4G6t9VIqo6moKUloom,0.00661,0.87,168347,0.35,0.000483,0.6666666666666666,0.108,-6.082,0.5,0.277,74.963,0.0,0.175
66665,Hip-Hop,2 Chainz,Rule The World (feat. Ariana Grande),1R6VwZ8TuHRzxZUxe88n4I,0.158,0.592,245893,0.584,2.63e-06,0.5,0.132,-6.232,0.0,0.0893,88.073,0.0,0.447
66666,Hip-Hop,Russ,Missin You Crazy,4ve2uzqdwnHr20G5YgMMqr,0.0991,0.716,226693,0.729,0.0,0.16666666666666666,0.0842,-6.313,0.5,0.117,131.975,0.0,0.276
66667,Hip-Hop,Lil Pump,Butterfly Doors,4NdXQlDTzxbOMkzJGWFtz3,0.0889,0.925,132923,0.397,5.12e-05,0.16666666666666666,0.144,-11.265,0.5,0.169,130.008,0.0,0.429
66668,Hip-Hop,J. Cole,KOD,7yotKA30dwTKNEGomV9ZsI,0.21,0.831,191437,0.782,0.0,0.08333333333333333,0.113,-6.274,0.5,0.15,141.869,0.0,0.199
66669,Hip-Hop,Tory Lanez,FeRRis WhEEL (feat. Trippie Redd),6j97zG4DDrh3oUa6rZbFOs,0.0835,0.807,151649,0.602,0.0,0.25,0.151,-5.005,0.5,0.274,95.031,0.0,0.252
66670,Hip-Hop,Eminem,'Till I Collapse,4xkOaSrkexMciUUogZKVTS,0.0757,0.572,297893,0.853,0.0,0.6666666666666666,0.0798,-3.203,0.5,0.217,171.297,0.0,0.102
66671,Hip-Hop,J. Cole,Wet Dreamz,6Ius4TC0L3cN74HT7ENE6e,0.0752,0.504,239320,0.705,0.0,0.8333333333333334,0.128,-8.205,0.0,0.364,175.483,0.0,0.584
66672,Hip-Hop,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),2v5JTeM6hSmi5wWy7jiwrI,0.15,0.741,233613,0.845,0.0,0.16666666666666666,0.174,-3.568,0.0,0.0381,129.939,0.0,0.926
66673,Hip-Hop,Nio Garcia,Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,0.542,0.903,417920,0.675,1.28e-05,0.25,0.0595,-3.445,0.0,0.214,96.507,0.0,0.442
66674,Hip-Hop,Logic,Everyday,4EAV2cKiqKP5UPZmY6dejk,0.041,0.67,204747,0.752,0.0,0.6666666666666666,0.0749,-4.146,0.5,0.0374,149.961,0.0,0.442
66675,Hip-Hop,Famous Dex,JAPAN,5PTG6rrL6EPFD9E2QMI2pl,0.121,0.733,142000,0.678,0.0,0.8333333333333334,0.344,-7.771,0.5,0.438,175.985,0.0,0.841
66676,Hip-Hop,6LACK,Pretty Little Fears (feat. J. Cole),4at3d5QWnlibMVN75ECDrp,0.711,0.611,240342,0.466,0.000264,0.75,0.0847,-11.361,0.5,0.372,192.08,0.0,0.223
66677,Hip-Hop,Eminem,Killshot,1jo3TwNGCXfNdB5uba3ZVv,0.0989,0.892,253580,0.651,0.0,0.08333333333333333,0.371,-8.645,0.0,0.378,105.814,0.0,0.599
66678,Hip-Hop,Ski Mask The Slump God,Foot Fungus,3EikYy40GMSp8l5mDV6IQo,0.257,0.881,129547,0.623,1.5e-06,0.6666666666666666,0.0964,-9.662,0.5,0.119,88.953,0.0,0.745
66679,Hip-Hop,Russ,Losin Control,4cxMGhkinTocPSVVKWIw0d,0.515,0.759,237507,0.245,0.000154,0.8333333333333334,0.102,-6.545,0.5,0.138,96.992,0.0,0.209
66680,Hip-Hop,A$AP Ferg,Plain Jane,4dVpf9jZjcORqGTLUaeYj9,0.0651,0.797,173600,0.844,0.0,0.25,0.087,-5.482,0.5,0.275,170.142,0.0,0.52
66681,Hip-Hop,Lil Baby,Close Friends (Lil Baby & Gunna),5nzhL67GpF9szXWg5y509A,0.044,0.665,203881,0.585,0.0,0.5833333333333334,0.0789,-5.077,0.0,0.366,158.953,0.0,0.658
66682,Hip-Hop,Shoreline Mafia,"Bands (feat. Ohgeesy, Fenix Flexin & Master Kato)",1n8wr8tRHs5jmBxNWXedcn,0.371,0.9,174336,0.385,0.0,0.6666666666666666,0.142,-12.189,0.0,0.435,99.964,0.0,0.488
66683,Hip-Hop,J. Cole,Kevin’s Heart,6tZ3b7ik1QDXFAZlXib0YZ,0.482,0.829,200310,0.527,0.0,0.8333333333333334,0.631,-6.644,0.0,0.367,116.078,0.0,0.473
66684,Hip-Hop,2 Chainz,Momma I Hit A Lick (feat. Kendrick Lamar),7jKUnzzOGhAlPjr7LkIUlE,0.202,0.796,173760,0.467,3.32e-05,0.25,0.206,-6.293,0.5,0.34,179.974,0.2,0.4
66685,Hip-Hop,Takeoff,Casper,1B4gJRq61xTs6r1O0Uq2iY,0.525,0.921,197079,0.607,1.12e-06,0.6666666666666666,0.123,-7.397,0.5,0.209,140.071,0.0,0.753
66686,Hip-Hop,Kendrick Lamar,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,0.264,0.8,213400,0.585,0.0,0.5833333333333334,0.153,-7.343,0.5,0.0924,126.058,0.0,0.779
66687,Hip-Hop,Yo Gotti,Put a Date On It (feat. Lil Baby),6PRh0ilIMEP1xlUHqalnkD,0.0123,0.835,195257,0.659,0.0,0.3333333333333333,0.372,-5.696,0.5,0.31,129.93,0.0,0.579
66688,Hip-Hop,Childish Gambino,This Is America,0b9oOr2ZgvyQu88wzixux9,0.117,0.854,225773,0.463,0.0,0.16666666666666666,0.354,-6.159,0.5,0.137,120.024,0.0,0.549
66689,Hip-Hop,XXXTENTACION,Look At Me!,7floNISpH8VF4z4459Qo18,0.259,0.763,126346,0.726,0.0,0.6666666666666666,0.0976,-6.405,0.5,0.282,139.059,0.0,0.349
66690,Hip-Hop,2 Chainz,High Top Versace (feat. Young Thug),40wyhIkaVvuZUAbAiTOkHI,0.00206,0.788,176920,0.591,1.95e-05,0.6666666666666666,0.116,-4.838,0.5,0.133,152.071,0.0,0.247
66691,Hip-Hop,DJ Khaled,No Brainer,5WvAo7DNuPRmk4APhdPzi8,0.0733,0.552,260000,0.76,0.0,0.08333333333333333,0.0865,-4.706,0.5,0.342,135.702,0.4,0.639
66692,Hip-Hop,Kendrick Lamar,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,0.0605,0.698,232187,0.633,0.000194,0.5,0.0926,-4.946,0.5,0.0597,96.924,0.0,0.552
