,genre,artist_name,track_name,track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
107802,Pop,Ariana Grande,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,0.0421,0.726,190440,0.554,0.0,0.16666666666666666,0.106,-5.29,0.0,0.0917,169.999,0.0,0.335
107803,Pop,Post Malone,Wow.,6MWtB6iiXyIwun0YzU6DFP,0.163,0.833,149520,0.539,2.1e-06,0.25,0.101,-7.399,0.0,0.178,99.947,0.0,0.385
107804,Pop,Ariana Grande,7 rings,14msK75pk3pA33pzPVNtBF,0.578,0.725,178640,0.321,0.0,0.6666666666666666,0.0884,-10.744,0.0,0.323,70.142,0.0,0.319
107805,Pop,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,0.149,0.837,213594,0.364,0.0,0.5,0.271,-11.713,0.5,0.276,123.984,0.0,0.463
107806,Pop,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,158040,0.479,0.0,0.0,0.0703,-5.574,0.5,0.0466,89.911,0.0,0.913
107807,Pop,Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,0.00513,0.834,312820,0.73,0.0,0.5,0.124,-3.714,0.5,0.222,155.008,0.0,0.446
107808,Pop,Halsey,Without Me,5p7ujcrUXASCNwRaWNHR1C,0.297,0.752,201661,0.488,9.11e-06,0.8333333333333334,0.0936,-7.05,0.5,0.0705,136.041,0.0,0.533
107809,Pop,Khalid,Talk,0rTV5WefWd1J3OwIheTzxM,0.0501,0.9,197487,0.4,0.0,0.08333333333333333,0.0876,-8.443,0.5,0.124,136.001,0.0,0.338
107810,Pop,Sam Smith,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,0.45,0.741,171030,0.52,1.97e-06,0.5,0.222,-7.513,0.5,0.0656,102.998,0.0,0.347
107811,Pop,Ariana Grande,needy,1TEL6MlSSVLSdhOSddidlJ,0.78,0.647,171573,0.309,7.41e-06,0.4166666666666667,0.202,-7.948,0.0,0.0366,87.045,0.0,0.195
107812,Pop,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,0.191,0.687,214290,0.792,0.0,0.16666666666666666,0.167,-2.749,0.5,0.0452,100.015,0.0,0.671
107813,Pop,Ariana Grande,NASA,4uTvPEr01pjTbZgl7jcKBD,0.451,0.747,182000,0.458,0.0,0.8333333333333334,0.252,-6.891,0.5,0.303,75.029,0.0,0.47
107814,Pop,Ariana Grande,"thank u, next",2rPE9A1vEgShuZxxzR2tZH,0.28,0.724,207333,0.647,0.0,0.6666666666666666,0.102,-5.642,0.5,0.0658,106.96,0.0,0.435
107815,Pop,Khalid,Better,6zeeWid2sgw4lap2jV61PZ,0.0765,0.596,229320,0.552,0.334,0.08333333333333333,0.104,-10.278,0.0,0.097,97.949,0.0,0.112
107816,Pop,Jonas Brothers,Sucker,4y3OI86AEP6PQoDE6olYhO,0.0436,0.846,181040,0.731,0.0,0.6666666666666666,0.0949,-5.027,0.0,0.064,137.947,0.0,0.933
107817,Pop,Ariana Grande,bloodline,2hloaUoRonYssMuqLCBLTX,0.0815,0.758,216893,0.665,0.000157,0.0,0.216,-5.188,0.0,0.0774,151.976,0.0,0.643
