,genre,artist_name,track_name,track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
86951,Rap,Post Malone,Wow.,6MWtB6iiXyIwun0YzU6DFP,0.163,0.833,149520,0.539,2.1e-06,0.25,0.101,-7.399,0.0,0.178,99.947,0.0,0.385
86952,Rap,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,0.149,0.837,213594,0.364,0.0,0.5,0.271,-11.713,0.5,0.276,123.984,0.0,0.463
86953,Rap,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,158040,0.479,0.0,0.0,0.0703,-5.574,0.5,0.0466,89.911,0.0,0.913
86954,Rap,Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,0.00513,0.834,312820,0.73,0.0,0.5,0.124,-3.714,0.5,0.222,155.008,0.0,0.446
86955,Rap,Meek Mill,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,0.259,0.889,180522,0.496,0.0,0.3333333333333333,0.252,-6.365,0.0,0.0905,86.003,0.0,0.544
86956,Rap,Blueface,Thotiana,3oh6SCCeLuXhFpEyepla6G,0.18,0.906,129264,0.382,0.0,0.5833333333333334,0.113,-12.89,0.0,0.269,104.025,0.0,0.391
86957,Rap,21 Savage,a lot,2t8yVaLvJ0RenpXUIAC52d,0.0395,0.837,288624,0.636,0.00125,0.6666666666666666,0.342,-7.643,0.5,0.086,145.972,0.0,0.274
86958,Rap,Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,0.103,0.896,145543,0.671,0.0,0.6666666666666666,0.552,-6.977,0.0,0.289,112.502,0.0,0.358
86959,Rap,Cardi B,Money,2GGMabyHXnJmjY6CXhhB2e,0.00534,0.95,183527,0.59,0.0,0.5,0.11,-6.508,0.0,0.29,130.003,0.0,0.219
86960,Rap,Juice WRLD,Robbery,44ShclXTOOnYtt5CnCDeGV,0.342,0.708,240527,0.691,0.0,0.0,0.222,-5.179,0.5,0.0442,79.99,0.0,0.535
86961,Rap,Kodak Black,ZEZE (feat. Travis Scott & Offset),0FZ4Dmg8jJJAPJnvBIzD9z,0.0521,0.861,228760,0.603,0.0,0.5,0.0924,-5.788,0.0,0.176,98.043,0.0,0.504
86962,Rap,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,0.0153,0.581,189487,0.662,0.0,0.75,0.111,-5.239,0.5,0.303,93.023,0.0,0.434
