,genre,artist_name,track_name,track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
122397,Reggae,Sublime,Santeria,2hnMS47jN0etwvFPzYk11f,0.0268,0.682,182747,0.765,3.42e-05,0.6666666666666666,0.188,-5.021,0.0,0.0395,90.807,0.0,0.567
122398,Reggae,Bob Marley & The Wailers,Three Little Birds,1P49MJhU5vzttesFxw3dOM,0.0102,0.807,180267,0.487,1.98e-06,0.75,0.0501,-10.456,0.5,0.0758,148.491,0.0,0.651
122399,Reggae,UB40,Red Red Wine,4uOKFydzAejjSFqYbv1XPt,0.00414,0.857,183113,0.468,1.32e-05,0.6666666666666666,0.269,-8.53,0.5,0.0476,89.119,0.0,0.843
122400,Reggae,Shaggy,It Wasn't Me,0OaunKfsxkgBvPv68jBbmm,0.0503,0.852,227547,0.604,0.0,0.08333333333333333,0.327,-4.569,0.5,0.0642,94.762,0.0,0.667
122401,Reggae,Bob Marley & The Wailers,Could You Be Loved,5O4erNlJ74PIF6kGol1ZrC,0.363,0.923,237000,0.728,0.000169,0.08333333333333333,0.0941,-8.518,0.5,0.101,103.299,0.0,0.751
122402,Reggae,Sublime,What I Got,3B4q6KbHbGV51HO3GznBFF,0.00877,0.804,170907,0.696,0.000985,0.4166666666666667,0.314,-7.47,0.5,0.0899,95.721,0.0,0.657
122403,Reggae,Bob Marley & The Wailers,One Love / People Get Ready,2iSXgduBpKrwJuQcuybkxP,0.0912,0.719,172933,0.515,0.0,0.5833333333333334,0.0791,-9.72,0.5,0.348,76.518,0.0,0.927
122404,Reggae,Bob Marley & The Wailers,Waiting In Vain,2jvoqPDIsm5rHRLgxstX15,0.0292,0.83,256240,0.463,1.58e-05,0.5,0.0589,-11.644,0.5,0.335,78.876,0.0,0.779
122405,Reggae,Dirty Heads,Vacation,7cdy4PbCdDZZNjyxoZyE0c,0.0431,0.739,209142,0.754,0.0,0.5,0.0999,-5.034,0.5,0.035,150.017,0.0,0.793
122406,Reggae,Bob Marley & The Wailers,Buffalo Soldier,7BfW1eoDh27W69nxsmRicb,0.143,0.932,257440,0.469,4.43e-06,0.75,0.0586,-8.66,0.5,0.29,124.115,0.0,0.747
122407,Reggae,MAGIC!,Rude,6RtPijgfPKROxEzTHNRiDp,0.0423,0.774,224840,0.756,0.0,0.6666666666666666,0.305,-4.995,0.5,0.0389,144.032,0.0,0.931
122408,Reggae,Slightly Stoopid,Closer to the Sun,1UL8GkVAs6UcWF6BZ3DYZt,0.203,0.572,145560,0.728,0.00263,0.4166666666666667,0.231,-5.534,0.5,0.0275,75.179,0.0,0.535
122409,Reggae,Shaggy,Angel,7xHsIaGEmiZunovi6oFtQz,0.143,0.802,235133,0.77,0.0,0.8333333333333334,0.0424,-2.998,0.5,0.0925,85.286,0.0,0.778
122410,Reggae,Dirty Heads,Oxygen,3YbtjYddK11NTDdUpC4nGp,0.0744,0.68,225395,0.878,0.0,0.5,0.137,-3.923,0.0,0.0554,169.987,0.0,0.769
122411,Reggae,311,Amber,51UtgWS4z1eMPuLQOzPtNH,0.119,0.659,211080,0.727,0.00427,0.3333333333333333,0.1,-8.638,0.0,0.0455,166.163,0.0,0.748
122412,Reggae,Bob Marley & The Wailers,Redemption Song,26PwuMotZqcczKLHi4Htz3,0.578,0.684,233560,0.248,0.0,0.08333333333333333,0.0643,-10.505,0.5,0.0435,116.002,0.0,0.621
122413,Reggae,Bob Marley & The Wailers,Is This Love,3y540Z9QFePg2CyZYWZMyI,0.119,0.775,230800,0.563,0.0,0.8333333333333334,0.155,-8.225,0.0,0.0815,122.269,0.0,0.786
122414,Reggae,Iration,Summer Nights,0QkWubamAKEvvcOTriSKX3,0.0201,0.835,236093,0.609,1.28e-06,0.75,0.107,-5.636,0.5,0.0336,130.154,0.0,0.781
122415,Reggae,Slightly Stoopid,2am,4cs6ORX8aKd6rtVdwAnnel,0.00594,0.794,299600,0.577,0.37,0.0,0.0708,-8.549,0.5,0.111,82.46,0.0,0.645
122416,Reggae,Pepper,Stone Love,1AO26gK1sI6PoFY9eUF8yV,0.0571,0.837,254800,0.478,0.00129,0.8333333333333334,0.0569,-5.861,0.0,0.0627,78.746,0.0,0.81
122417,Reggae,The Expendables,Bowl For Two,260F1LrhRMiuXOZIaypMZd,0.0749,0.728,283427,0.5,5.84e-06,0.3333333333333333,0.108,-6.214,0.0,0.0344,138.528,0.0,0.382
