,genre,artist_name,track_name,track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
138915,Reggaeton,Bad Bunny,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,0.0141,0.817,210368,0.539,0.000496,0.8333333333333334,0.099,-6.349,0.0,0.0621,97.062,0.0,0.158
138916,Reggaeton,Anuel Aa,Secreto,5W83ErFkO3aKAIS1WMi6u0,0.602,0.807,258800,0.803,0.00853,0.25,0.136,-4.156,0.5,0.126,91.987,0.0,0.706
138917,Reggaeton,Ozuna,Baila Baila Baila,7uH27oIt4a6cIFCA8ZPcyG,0.0361,0.816,158400,0.754,0.0,0.25,0.217,-2.75,0.0,0.111,99.966,0.0,0.533
138918,Reggaeton,Daddy Yankee,Con Calma,5w9c2J52mkdntKOmRLeM2m,0.11,0.737,193227,0.86,1.94e-06,0.5,0.0574,-2.652,0.0,0.0593,93.989,0.0,0.656
138919,Reggaeton,Bad Bunny,NI BIEN NI MAL,278kSqsZIiYp8p3QjYAqa8,0.556,0.826,236216,0.449,1.85e-05,0.16666666666666666,0.273,-8.33,0.0,0.0674,128.028,0.0,0.337
138920,Reggaeton,Nio Garcia,Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,0.542,0.903,417920,0.675,1.28e-05,0.25,0.0595,-3.445,0.0,0.214,96.507,0.0,0.442
138921,Reggaeton,Karol G,Culpables,6q8Lb50EtqNeeJXXe8mMAH,0.279,0.728,226627,0.801,4.71e-06,0.5,0.143,-2.942,0.0,0.0683,130.059,0.0,0.416
138922,Reggaeton,Anuel Aa,Amanece,1LiN0Z98FkR1t0m8KmLcAH,0.437,0.79,190005,0.631,0.0,0.5,0.158,-5.549,0.0,0.0425,94.039,0.0,0.889
138923,Reggaeton,Bad Bunny,Caro,6it15CsDlkqB7N4lF0C1qM,0.627,0.651,229456,0.575,0.000202,0.08333333333333333,0.0961,-7.739,0.5,0.299,160.007,0.0,0.248
138924,Reggaeton,Bad Bunny,Solo de Mi,5YOkA7qd2983FtBQnP8sYx,0.287,0.743,197968,0.73,8.1e-05,0.5833333333333334,0.0778,-4.314,0.0,0.125,179.972,0.0,0.15
138925,Reggaeton,Ozuna,Vaina Loca,48zFZh27QU5qsrBjn4C2FA,0.315,0.754,176133,0.805,0.0,0.8333333333333334,0.203,-4.249,0.5,0.0752,93.983,0.0,0.555
138926,Reggaeton,Karol G,Créeme,1mT47pKLXUwPYGwB91GcNz,0.154,0.715,212493,0.872,0.000146,0.8333333333333334,0.11,-3.501,0.5,0.0547,96.939,0.0,0.682
138927,Reggaeton,Bad Bunny,La Romana,1khmgu0pveJbkbpbkyvcQv,0.0327,0.655,300579,0.725,0.00264,0.08333333333333333,0.0611,-5.497,0.5,0.188,125.8,0.0,0.326
138928,Reggaeton,Bad Bunny,Si Estuviésemos Juntos,35wvL50xvKpCHEJPxLOLPI,0.0626,0.672,169248,0.594,5.14e-05,0.6666666666666666,0.152,-6.813,0.0,0.0789,171.854,0.0,0.158
138929,Reggaeton,Bad Bunny,200 Mph,5jGUJXnELDaDTgiRjD9lsg,0.0139,0.85,170509,0.5,0.000384,0.5,0.0947,-6.708,0.5,0.0665,160.02,0.0,0.816
138930,Reggaeton,J Balvin,Reggaeton,2D3z17LBMJ2HEHeBFFjTLi,0.0165,0.747,158800,0.74,9.94e-05,0.3333333333333333,0.101,-4.325,0.0,0.191,176.059,0.0,0.552
138931,Reggaeton,Daddy Yankee,Adictiva,6MJUCumnQsQEKbCy28tbCP,0.291,0.788,207853,0.771,5.62e-05,0.3333333333333333,0.172,-3.206,0.0,0.0563,99.038,0.0,0.701
138932,Reggaeton,Ozuna,Solita,7rwX0O3RlxqqIjQM8evm5E,0.0564,0.807,311726,0.633,0.0,0.5833333333333334,0.107,-6.016,0.0,0.0929,138.038,0.0,0.325
138933,Reggaeton,Bad Bunny,Otra Noche en Miami,4vCAzANUWDE24URV6wQ4ra,0.197,0.514,233128,0.646,2.3e-05,0.6666666666666666,0.0958,-8.833,0.5,0.275,88.661,0.0,0.297
138934,Reggaeton,Maluma,HP,31UjYv5vLsDkzchJOtUMtW,0.252,0.837,184436,0.791,1.14e-06,0.3333333333333333,0.188,-3.157,0.0,0.0773,91.98,0.0,0.618
138935,Reggaeton,Natti Natasha,Criminal,6Za3190Sbw39BBC77WSS1C,0.03,0.814,232550,0.813,9.33e-05,0.0,0.255,-3.023,0.0,0.0561,79.997,0.0,0.839
138936,Reggaeton,Brytiago,Asesina - Remix,59PYgzOiOjGDzjDT5N5oOX,0.589,0.825,327467,0.69,0.0,0.5833333333333334,0.413,-4.252,0.0,0.226,94.194,0.0,0.516
138937,Reggaeton,Bad Bunny,Estamos Bien,2OWVCFTolecLiGZPquvWvT,0.821,0.759,208080,0.536,4.57e-06,0.75,0.107,-6.663,0.0,0.173,119.883,0.0,0.439
138938,Reggaeton,Ozuna,Ibiza,1h9P5WJwyvK8OB7O2YiXgp,0.254,0.691,200747,0.71,0.0,0.16666666666666666,0.108,-5.144,0.5,0.334,192.046,0.0,0.726
138939,Reggaeton,Bad Bunny,Cuando Perriabas,5mj8WVFcKdGA8p9HWGTSLc,0.137,0.787,188654,0.705,1.06e-06,0.08333333333333333,0.108,-7.582,0.5,0.0695,81.998,0.0,0.499
138940,Reggaeton,Becky G,Sin Pijama,2ijef6ni2amuunRoKTlgww,0.354,0.791,188560,0.745,2.93e-05,0.25,0.104,-3.695,0.0,0.0464,94.014,0.0,0.82
138941,Reggaeton,Maluma,Mala Mía,62o8KoI44JfN7aYxgTnPvh,0.31,0.749,183753,0.752,0.0,0.8333333333333334,0.232,-4.883,0.5,0.345,180.049,0.0,0.901
138942,Reggaeton,Ozuna,La Modelo,2SbzdGpOKlH3HIAGTWTbwU,0.241,0.574,255507,0.734,0.00806,0.6666666666666666,0.0961,-2.697,0.5,0.0728,98.023,0.0,0.769
138943,Reggaeton,Ozuna,Unica,33b2wX9d0kxqxhi7lcsC1A,0.212,0.653,218387,0.859,0.0,0.08333333333333333,0.111,-3.048,0.5,0.0449,174.037,0.0,0.705
138944,Reggaeton,Lunay,A Solas - Remix,3T5QSIgoaPIh07SwixRDp7,0.657,0.618,273198,0.743,5.95e-06,0.8333333333333334,0.143,-2.576,0.0,0.141,180.021,0.0,0.589
138945,Reggaeton,Bad Bunny,¿Quien Tu Eres?,6kN06eEOblRAuWI0xUUS91,0.185,0.727,159229,0.58,3.58e-06,0.0,0.125,-6.804,0.0,0.136,137.048,0.0,0.325
138946,Reggaeton,Ozuna,El Farsante - Remix,7uYgVgRSgqluZclLS7wpp4,0.218,0.737,258000,0.742,0.0,0.8333333333333334,0.316,-2.875,0.5,0.0441,119.966,0.0,0.386
138947,Reggaeton,Bad Bunny,Ser Bichote,4UEuIEv9Wc3wtiWUplGJ7q,0.158,0.785,193211,0.626,4.6e-06,0.3333333333333333,0.181,-8.03,0.0,0.0675,154.946,0.0,0.183
138948,Reggaeton,Ozuna,Se Preparó,1m69ELEgE6k5ZWsap40ozt,0.222,0.739,188080,0.821,9.6e-06,0.6666666666666666,0.311,-4.233,0.5,0.0852,171.077,0.0,0.693
138949,Reggaeton,Rauw Alejandro,Que Le De,08aYFNUTIOMGq93e2VSArQ,0.19,0.77,225600,0.75,0.0,0.08333333333333333,0.0618,-2.715,0.5,0.0785,99.997,0.0,0.609
138950,Reggaeton,Bad Bunny,Tenemos Que Hablar,5VQpJ2AY2iMzrRZKgcvNjh,0.146,0.855,224512,0.512,0.000854,0.25,0.107,-8.165,0.5,0.0534,146.075,0.0,0.144
138951,Reggaeton,Manuel Turizo,Sola,675w3ACw5xZR3ODhUJlEVN,0.483,0.704,195044,0.706,0.0,0.25,0.0965,-5.233,0.0,0.111,92.965,0.0,0.856
138952,Reggaeton,Amenazzy,Baby,2IA8cFA46DkjgbsRG7kKbp,0.327,0.7,235973,0.71,0.0,0.25,0.129,-4.835,0.5,0.0532,167.971,0.0,0.582
138953,Reggaeton,Ozuna,Luz Apaga,5Q3e16qE1RE5oilN3ukasm,0.19,0.611,245000,0.791,3.02e-06,0.6666666666666666,0.12,-3.558,0.5,0.173,192.07,0.0,0.658
138954,Reggaeton,Bad Bunny,Como Antes,69ZaPBHhRMRDjRpW1ivnOU,0.668,0.767,230578,0.379,0.000145,0.08333333333333333,0.217,-10.348,0.5,0.0385,103.956,0.0,0.252
138955,Reggaeton,Maluma,Felices los 4,1RouRzlg8OKFeqc6LvdxmB,0.213,0.766,230000,0.756,0.0,0.16666666666666666,0.349,-5.861,0.5,0.132,94.027,0.0,0.716
138956,Reggaeton,Ozuna,Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,0.165,0.855,226800,0.664,3.97e-05,0.75,0.0937,-7.11,0.0,0.0607,98.015,0.0,0.626
