,genre,artist_name,track_name,track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
191939,Soul,John Legend,All of Me,3U4isOIWM3VvDubwSI3y7a,0.922,0.422,269560,0.264,0.0,0.5,0.132,-7.064,0.5,0.0322,119.93,0.0,0.331
191940,Soul,Marvin Gaye,Ain't No Mountain High Enough - Mono,76resiPGue5Cum9rLUKCj0,0.29,0.62,148093,0.813,0.000109,0.25,0.143,-6.115,0.0,0.0307,129.38,0.0,0.832
191941,Soul,Adele,Someone Like You,4kflIGfjdZJW4ot2ioixTB,0.892,0.559,285040,0.33,0.0,0.75,0.0975,-8.251,0.5,0.0285,135.109,0.0,0.285
191942,Soul,The Temptations,My Girl,6jWkZvd1URGktyTTwcpPpB,0.625,0.579,165000,0.419,0.0,0.08333333333333333,0.0981,-10.72,0.5,0.0346,104.564,0.0,0.673
191943,Soul,Estelle,American Boy,22UDw8rSfLbUsaAGTXQ4Z8,0.171,0.727,284733,0.729,0.0,0.08333333333333333,0.07,-2.99,0.5,0.326,117.932,0.0,0.512
191944,Soul,GASHI,My Year,6MDjeiUWPPgEwLtiBrr9he,0.206,0.842,190345,0.808,0.0,0.25,0.258,-3.243,0.0,0.0491,145.03,0.0,0.705
191945,Soul,Adele,Make You Feel My Love,6P7tTFzn6oNa0GL8w8oazE,0.894,0.552,212040,0.18,0.000393,0.5833333333333334,0.105,-10.583,0.5,0.0293,76.995,0.0,0.0896
191946,Soul,Al Green,Let's Stay Together,63xdwScd1Ai1GigAwQxE8y,0.57,0.756,199396,0.397,0.0115,0.4166666666666667,0.0542,-10.701,0.0,0.0522,101.985,0.0,0.507
191947,Soul,Alicia Keys,If I Ain't Got You,3XVBdLihbNbxUwZosxcGuJ,0.603,0.609,228707,0.445,6.77e-06,0.4166666666666667,0.104,-9.129,0.5,0.106,118.393,0.2,0.166
191948,Soul,Rag'n'Bone Man,Human,58zsLZPvfflaiIbNWoA22O,0.393,0.602,200187,0.707,0.0,0.25,0.165,-4.097,0.5,0.302,75.09,0.0,0.554
191949,Soul,Frank Ocean,Ivy,2ZWlPOoWh0626oTaHrnl2a,0.782,0.567,249191,0.388,0.000309,0.75,0.248,-9.579,0.0,0.0384,116.362,0.0,0.452
